"EstablishmentCode","EstablishmentName","IsLibraryAvailable","AvailableBooksCount","IsFireExtgAvailable","ExtinguisherCount","HOIRoomAvailable","IsStaffRoomAvailable","NoofStaffRoom","IsLockerForStaffAvailable","IsSportsStoreRoomAvailable"
"S1170","NEW HOPE ACADEMY, SIKIP","Not Available","0","Available","1","Available","Available","1","Available","Not Available"
"S1384","NEW HORIZON ACADEMY","Not Available","0","Available","1","Available","Not Available","0","Not Available","Available"
"S1045","NEW HORIZON ACADEMY, LASSO(TASHIDING)","Not Available","0","Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1207","NEW LIGHT ACADEMY NAMCHI","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0824","NEW LIGHT ACADEMY, ASSANGTHANG","Available","100","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1165","NEW LIGHT ENGLISH SCHOOL, MELLI PAYONG","Not Available","0","Available","1","Available","Available","1","Not Available","Not Available"
"S1016","NEW RAYS ACADEMY DEYTHANG BUSTY S. SIKKIM","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S1210","NEW STEPS ACADEMY, NAMTHANG","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1076","NEW TULIPS KINDER GARTEN, GYALSHING","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1435","NEW VISION ACADEMY, CHOTA SINGTAM","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0864","NEW VISION ACADEMY, MAJHITAR","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1053","NEW WISDOM ACADEMY, DENTAM","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S0713","NIJGAON GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0871","NIM VALLEY , NIMTAR","Available","751","Available","1","Available","Available","1","Not Available","Available"
"S0160","NIMACHEN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","4","Available","Not Available","0","Not Available","Not Available"
"S0084","NIMTAR GOVERNMENT JUNIOR HIGH SCHOOL","Available","70","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0233","NIMTHANG GOVERNMENT PRIMARY SCHOOL","Available","20","Available","2","Available","Available","1","Not Available","Not Available"
"S0444","NIZRAMENG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S1020","NOBLE ENGLISH SCHOOL, MANGALBARIA","Available","500","Available","2","Not Available","Available","1","Available","Available"
"S1387","NORBU TITDUNG MEMORIAL ACADEMY","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0176","NORTH REGU GOVERNMENT JUNIOR HIGH SCHOOL","Available","270","Available","2","Available","Available","1","Not Available","Not Available"
"S0988","NORTH SIKKIM ACADEMY, MANGAN","Available","0","Available","4","Available","Available","2","Available","Available"
"S0970","NORTH WAY ACADEMY, PHENSONG","Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1382","NOTRE DAMME ACADEMY","Available","12","Available","1","Available","Available","1","Available","Available"
"S0164","OKHARBOTEY GOVERNMENT PRIMARY SCHOOL","Available","20","Available","2","Available","Available","1","Not Available","Not Available"
"S0361","OKHERBOTAY GOVERNMENT PRIMARY SCHOOL (W)","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0583","OKHREY GOVERNMENT SECONDARY SCHOOL","Available","0","Available","4","Available","Available","1","Not Available","Not Available"
"S0299","OMCHUNG GOVERNMENT JUNIOR HIGH SCHOOL","Available","60","Available","2","Available","Available","1","Not Available","Not Available"
"S1383","OYSTERS ACADEMY, LINGDING","Not Available","0","Available","1","Available","Available","1","Available","Not Available"
"S0701","PABONG DARING GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Not Available","Available","1","Not Available","Not Available"
"S0408","PABONG GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","1","Available","Available","1","Available","Not Available"
"S0510","PABYUIK GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","6","Available","Available","1","Not Available","Not Available"
"S0141","PACHA SARASWATI GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0226","PACHAK GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0082","PACHEY GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0085","PACHEYKHANI GOVERNMENT SECONDARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
